原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分,成本得分,技术得分,碳减排得分,市场得分
花生壳/板栗壳,严重,明确可追溯,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.839879216670962,5,5,5,8
茶渣,严重,基本可追溯,差,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.780358324651017,5,5,8,8
茶渣,轻度,基本可追溯,良,是,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.82655056175137,5,5,5,5
茶渣,严重,基本可追溯,差,是,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.778500940770303,5,5,5,8
花生壳/板栗壳,无,来源不明,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.110596965429353,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,否,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.2284648089804875,5,5,5,5
中药残余废弃物,轻度,基本可追溯,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,1.1989303271618044,5,5,5,5
花生壳/板栗壳,轻度,明确可追溯,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.029540948928218,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,差,,否,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.0468186581644225,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,否,0,1,高,中,材料主线,茶渣,优/良,6.057304879787486,5,5,5,8
中药残余废弃物,轻度,明确可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.8570613720786495,8,8,8,5
豆制品/粮食发酵副产物,严重,明确可追溯,差,,,0,1,中,低,无害化兜底,茶渣,差,5.3452752185889505,8,8,8,5
豆制品/粮食发酵副产物,严重,明确可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,6.31289756317058,5,5,5,8
茶渣,轻度,基本可追溯,差,是,,1,1,中,低,无害化兜底,茶渣,差,9.280444726516507,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,是,0,1,高,中,材料主线,茶渣,优/良,5.608539421035452,5,5,5,8
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,0,中,高,食品支线,茶渣,优,0.337821771840607,5,5,2,5
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,优,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.176245628891379,5,5,8,8
花生壳/板栗壳,严重,基本可追溯,优,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,10.879690723356884,5,5,8,8
花生壳/板栗壳,严重,基本可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.785182838313748,5,5,5,8
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.332969936440661,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.516035242476942,5,5,8,8
中药残余废弃物,轻度,明确可追溯,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.016714207740747,5,5,8,8
花生壳/板栗壳,无,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.046158607489042,5,5,8,5
花生壳/板栗壳,严重,基本可追溯,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.154039333810609,8,8,8,5
茶渣,轻度,来源不明,优,是,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.266858432986969,5,5,5,8
中药残余废弃物,无,来源不明,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.906500856306302,5,5,8,5
花生壳/板栗壳,无,明确可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.7874000731834787,8,8,8,5
茶渣,轻度,来源不明,良,否,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.55098744861118,5,5,8,5
豆制品/粮食发酵副产物,严重,明确可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,6.373353088231759,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,是,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.658580566742035,5,5,5,5
中药残余废弃物,轻度,来源不明,良,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.823381371484672,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,否,0,1,高,中,材料主线,茶渣,优/良,5.991772586931747,5,5,5,8
茶渣,无,基本可追溯,优,否,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.795612191428054,8,8,8,5
花生壳/板栗壳,无,来源不明,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.779580278472498,5,5,5,8
花生壳/板栗壳,无,基本可追溯,差,,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,2.8847039798546494,5,5,5,8
茶渣,无,基本可追溯,良,是,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.9428745975233512,8,8,8,5
花生壳/板栗壳,严重,明确可追溯,良,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.546282412788177,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,差,,否,0,1,高,低,材料主线,茶渣,优/良/差,6.7720672083738425,5,5,8,8
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,0,中,高,食品支线,茶渣,优,0.0,5,5,2,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,差,,是,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,1.1037200010175963,5,5,5,5
豆制品/粮食发酵副产物,轻度,明确可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.570879811181224,5,5,5,8
豆制品/粮食发酵副产物,严重,明确可追溯,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.4627065772936956,5,5,5,5
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.03333302406626937,5,5,5,5
中药残余废弃物,无,来源不明,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.654206730692485,5,5,8,8
豆制品/粮食发酵副产物,轻度,明确可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.589173440298612,5,5,5,8
花生壳/板栗壳,轻度,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,5.053772997337515,5,5,5,8
茶渣,无,来源不明,优,是,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.678972843570664,5,5,5,8
豆制品/粮食发酵副产物,无,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.014763131555817,5,5,5,8
茶渣,无,来源不明,差,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.110906584545158,8,8,8,5
中药残余废弃物,轻度,明确可追溯,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.6532684501394287,5,5,5,5
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,10.105521294907456,8,8,8,5
花生壳/板栗壳,严重,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.00821617865025781,5,5,5,8
茶渣,轻度,明确可追溯,良,否,,1,1,高,中,材料主线,茶渣,优/良,9.515395136641636,5,5,5,8
中药残余废弃物,严重,明确可追溯,差,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.132895105392615,5,5,8,8
中药残余废弃物,严重,基本可追溯,优,,,0,1,中,高,食品支线,茶渣,优,0.19954887134485533,5,5,2,5
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,是,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.0492144126511636,5,5,5,8
花生壳/板栗壳,轻度,来源不明,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.5043797585070584,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,是,1,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,6.109167878794498,8,8,8,5
中药残余废弃物,严重,来源不明,良,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,9.085423653248965,5,5,5,8
茶渣,无,来源不明,优,是,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.9724539436816757,5,5,5,5
花生壳/板栗壳,无,来源不明,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.959028010039322,5,5,8,5
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.679758219926066,8,8,8,5
茶渣,轻度,明确可追溯,优,否,,0,1,高,中高,食品支线,葡萄籽,优/良,5.257391436733122,5,5,5,8
豆制品/粮食发酵副产物,轻度,基本可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.554203773939711,5,5,5,8
中药残余废弃物,无,来源不明,优,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.580314554274203,5,5,5,5
花生壳/板栗壳,无,明确可追溯,优,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.0868502346406497,5,5,5,5
茶渣,轻度,基本可追溯,良,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.613050629293405,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,否,1,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,6.194341433470773,8,8,8,5
茶渣,无,基本可追溯,差,否,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.1412305594713406,5,5,8,5
豆制品/粮食发酵副产物,严重,来源不明,良,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.560228968848527,8,8,8,5
中药残余废弃物,轻度,基本可追溯,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.521973681480592,5,5,5,8
茶渣,严重,来源不明,优,否,,1,1,高,低,材料主线,茶渣,优/良/差,11.1078623871161,5,5,8,8
花生壳/板栗壳,严重,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0,5,5,5,8
中药残余废弃物,无,基本可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.6079075217237948,8,8,8,5
豆制品/粮食发酵副产物,轻度,明确可追溯,差,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,10.035167135685196,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,优,,否,0,1,高,低,材料主线,茶渣,优/良/差,7.305939545947512,5,5,8,8
茶渣,严重,基本可追溯,差,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.049732870968828,8,8,8,5
中药残余废弃物,无,来源不明,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.9268509239380607,8,8,8,5
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.411038701516496,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,否,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.198063214183815,5,5,8,8
茶渣,严重,来源不明,良,是,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.082723029592056,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,是,0,1,高,中,材料主线,茶渣,优/良,5.509641691287159,5,5,5,8
花生壳/板栗壳,无,来源不明,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.126755207793024,8,8,8,5
茶渣,无,基本可追溯,优,否,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.462897892741406,5,5,5,8
中药残余废弃物,轻度,明确可追溯,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.979592548393113,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,否,0,1,高,低,材料主线,茶渣,优/良/差,6.981232408283725,5,5,8,8
茶渣,无,基本可追溯,优,是,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.6082675433733133,8,8,8,5
豆制品/粮食发酵副产物,严重,基本可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,5.521298598804534,5,5,5,8
中药残余废弃物,轻度,明确可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.8331783257131224,5,5,8,5
茶渣,轻度,基本可追溯,优,否,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.205599587519985,5,5,5,8
花生壳/板栗壳,无,基本可追溯,差,,,0,1,中,低,无害化兜底,茶渣,差,5.191542846796262,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,否,0,1,高,中,材料主线,茶渣,优/良,5.714069704051043,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,否,1,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.611206393519321,8,8,8,5
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.860893241411739,8,8,8,5
中药残余废弃物,严重,基本可追溯,良,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.161100358593262,8,8,8,5
茶渣,严重,来源不明,优,是,,1,1,高,中,材料主线,茶渣,优/良,9.703684843068062,5,5,5,8
中药残余废弃物,严重,明确可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.056495904423569,8,8,8,5
茶渣,无,明确可追溯,优,否,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.3547072110634,5,5,5,8
豆制品/粮食发酵副产物,无,明确可追溯,良,,,0,0,中,高,食品支线,茶渣,优,0.3165746924520675,5,5,2,5
豆制品/粮食发酵副产物,无,来源不明,差,,,1,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.636795107328911,5,5,5,5
茶渣,严重,基本可追溯,优,否,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.178408533018943,5,5,5,8
花生壳/板栗壳,轻度,来源不明,良,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,10.273605587981125,5,5,5,8
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,1,高,低,材料主线,茶渣,优/良/差,6.603965452348107,5,5,8,8
豆制品/粮食发酵副产物,无,基本可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.9701757093432244,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,否,0,0,中,高,食品支线,茶渣,优,0.20767589881284088,5,5,2,5
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,良,,否,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,8.705743975688494,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,差,,是,0,0,中,高,食品支线,茶渣,优,0.2861623989536446,5,5,2,5
豆制品/粮食发酵副产物,轻度,明确可追溯,优,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.658902129641165,8,8,8,5
中药残余废弃物,严重,明确可追溯,差,,,0,1,中,低,无害化兜底,茶渣,差,4.516509328988248,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,差,,是,0,1,高,低,材料主线,茶渣,优/良/差,7.253155105934578,5,5,8,8
花生壳/板栗壳,轻度,来源不明,良,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.8173462943547474,5,5,5,5
中药残余废弃物,无,来源不明,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.056405951501497,5,5,8,5
豆制品/粮食发酵副产物,无,基本可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,6.712851293631292,5,5,8,8
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.920567106573819,5,5,8,5
花生壳/板栗壳,无,基本可追溯,良,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.4801989087625,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,是,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.722591863754238,5,5,5,8
豆制品/粮食发酵副产物,轻度,来源不明,良,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.9689009829460993,5,5,5,5
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.257947323753431,8,8,8,5
花生壳/板栗壳,严重,来源不明,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.524269970023015,5,5,5,8
茶渣,严重,基本可追溯,差,是,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.2470351032370335,5,5,8,5
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.655019517532924,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,否,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0,5,5,5,8
中药残余废弃物,轻度,来源不明,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,1.539986405163769,5,5,5,8
豆制品/粮食发酵副产物,无,来源不明,优,,,0,0,中,低,无害化兜底,茶渣,差,2.4745747178886592,8,8,8,5
豆制品/粮食发酵副产物,无,来源不明,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.67088008556089,5,5,8,5
茶渣,轻度,明确可追溯,良,是,,1,0,中,低,无害化兜底,茶渣,差,6.195310471740942,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,否,0,1,高,中,材料主线,茶渣,优/良,5.832654712990539,5,5,5,8
花生壳/板栗壳,无,来源不明,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.854508000682196,8,8,8,5
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.4198447893262566,5,5,5,5
中药残余废弃物,严重,来源不明,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.409365911959172,8,8,8,5
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.78845778010322,5,5,8,8
中药残余废弃物,严重,明确可追溯,差,,,1,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,4.3603012432299515,5,5,5,5
豆制品/粮食发酵副产物,轻度,来源不明,差,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,11.269838453643342,5,5,8,8
茶渣,轻度,明确可追溯,良,是,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.484172355421751,5,5,5,8
豆制品/粮食发酵副产物,轻度,明确可追溯,优,,,0,1,中,高,食品支线,茶渣,优,2.8592826504781215,5,5,2,5
花生壳/板栗壳,轻度,来源不明,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.57186590448747,8,8,8,5
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.1703899501986035,5,5,8,8
花生壳/板栗壳,无,来源不明,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.01920438277554215,5,5,5,5
茶渣,严重,来源不明,优,是,,1,0,中,低,无害化兜底,茶渣,差,6.386844294500566,8,8,8,5
花生壳/板栗壳,轻度,明确可追溯,良,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.228052677157727,8,8,8,5
中药残余废弃物,轻度,基本可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,6.945342279701754,5,5,8,8
茶渣,轻度,基本可追溯,差,否,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.290659780022604,5,5,5,8
茶渣,无,来源不明,良,是,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.6188382763142477,5,5,5,5
茶渣,无,来源不明,优,否,,1,0,中,低,无害化兜底,茶渣,差,6.372156622356121,8,8,8,5
花生壳/板栗壳,无,来源不明,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.3368317477156815,8,8,8,5
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,0,中,高,食品支线,茶渣,优,0.4854113724879796,5,5,2,5
花生壳/板栗壳,无,基本可追溯,良,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.358332912837193,5,5,5,5
中药残余废弃物,轻度,基本可追溯,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.569896722407457,5,5,8,5
豆制品/粮食发酵副产物,无,基本可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,5.764383203462396,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,否,1,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,7.3330707434206825,5,5,5,8
豆制品/粮食发酵副产物,严重,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.0,5,5,5,8
茶渣,无,基本可追溯,差,是,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,3.4752738421067164,5,5,5,8
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.068537634264591,8,8,8,5
茶渣,严重,明确可追溯,优,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.229620762901747,8,8,8,5
豆制品/粮食发酵副产物,严重,明确可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,6.608553911648492,5,5,8,8
茶渣,无,明确可追溯,差,否,,0,0,高,中高,食品支线,葡萄籽,优/良,1.8759324614009387,5,5,5,8
中药残余废弃物,无,来源不明,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.314716275328856,5,5,5,8
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,0,高,中,材料主线,茶渣,优/良,2.563661012301912,5,5,5,8
豆制品/粮食发酵副产物,严重,基本可追溯,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.212584808886285,5,5,5,8
中药残余废弃物,无,基本可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.053828403633127,8,8,8,5
花生壳/板栗壳,无,明确可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.972434692044029,5,5,5,8
茶渣,无,基本可追溯,优,是,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.920854697765996,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,是,0,1,高,低,材料主线,茶渣,优/良/差,7.06814275431736,5,5,8,8
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.0371722079213495,5,5,8,5
